trip_id,start_time,end_time,headway_secs,exact_times
0,05:00:00,21:00:00,300,1
1,05:00:00,21:00:00,300,1
2,04:30:00,21:00:00,300,1
3,05:00:00,20:00:00,300,1
4,05:00:00,12:00:00,300,1
5,05:00:00,21:00:00,300,1
6,05:00:00,21:00:00,300,1
7,04:00:00,20:00:00,300,1
8,04:30:00,19:30:00,300,1
9,04:00:00,21:00:00,300,1
10,05:30:00,20:30:00,300,1
11,05:00:00,18:00:00,300,1
12,04:00:00,21:00:00,300,1
13,04:00:00,22:00:00,300,1
14,04:50:00,21:00:00,300,1
15,04:00:00,20:00:00,300,1
16,04:30:00,19:30:00,300,1
17,03:45:00,21:15:00,300,1
18,05:50:00,20:00:00,300,1
19,05:00:00,20:00:00,300,1
20,05:25:00,18:00:00,300,1
21,06:00:00,19:00:00,300,1
22,05:30:00,20:00:00,300,1
23,06:00:00,19:00:00,300,1
24,05:30:00,20:00:00,300,1
25,06:00:00,19:00:00,300,1
26,04:00:00,20:00:00,300,1
27,04:35:00,20:00:00,300,1
28,05:00:00,19:30:00,300,1
29,04:30:00,21:30:00,300,1
30,04:35:00,20:00:00,300,1
31,04:00:00,21:00:00,300,1
32,05:30:00,21:00:00,300,1
33,05:00:00,19:30:00,300,1
34,04:30:00,19:30:00,300,1
35,04:30:00,18:30:00,300,1
36,03:45:00,20:00:00,300,1
37,03:45:00,19:00:00,300,1
38,05:00:00,19:30:00,300,1
39,03:40:00,18:40:00,300,1
40,03:40:00,18:00:00,300,1
41,03:45:00,20:10:00,300,1
42,03:45:00,19:00:00,300,1
43,06:00:00,20:00:00,300,1
44,05:30:00,19:00:00,300,1
45,05:40:00,18:30:00,300,1
46,05:30:00,19:00:00,300,1
47,05:40:00,18:30:00,300,1
48,04:30:00,20:00:00,300,1
49,05:00:00,15:30:00,300,1
50,04:00:00,18:00:00,300,1
51,05:00:00,21:00:00,300,1
52,04:00:00,19:00:00,300,1
53,04:30:00,18:30:00,300,1
54,05:00:00,20:30:00,300,1
55,05:00:00,20:00:00,300,1
56,05:30:00,19:30:00,300,1
57,06:30:00,20:30:00,300,1
58,06:00:00,21:30:00,300,1
59,05:30:00,20:00:00,300,1
60,05:00:00,21:00:00,300,1
61,05:00:00,21:00:00,300,1
62,05:00:00,20:45:00,300,1
63,06:30:00,19:45:00,300,1
64,05:30:00,21:00:00,300,1
65,05:00:00,20:00:00,300,1
66,05:00:00,20:00:00,300,1
67,05:00:00,21:00:00,300,1
68,05:00:00,21:00:00,300,1
69,05:00:00,21:00:00,300,1
70,05:30:00,18:00:00,300,1
71,05:00:00,21:00:00,300,1
72,05:00:00,21:00:00,300,1
73,05:00:00,21:00:00,300,1
74,05:00:00,21:00:00,300,1
75,05:00:00,21:00:00,300,1
76,05:00:00,21:00:00,300,1
77,05:00:00,21:00:00,300,1
78,05:00:00,21:00:00,300,1
79,05:00:00,21:00:00,300,1
80,05:00:00,21:00:00,300,1
81,05:00:00,21:00:00,300,1
82,05:00:00,21:00:00,300,1
83,05:00:00,19:00:00,300,1
84,06:00:00,18:00:00,300,1
85,05:00:00,19:00:00,300,1
86,06:00:00,18:00:00,300,1
87,03:25:00,22:00:00,300,1
88,03:25:00,22:00:00,300,1
89,06:00:00,20:00:00,300,1
90,06:00:00,20:00:00,300,1
91,05:00:00,20:00:00,300,1
92,06:00:00,18:00:00,300,1
93,05:00:00,20:00:00,300,1
94,06:00:00,18:00:00,300,1
95,06:30:00,20:00:00,300,1
96,07:00:00,18:00:00,300,1
97,06:30:00,20:00:00,300,1
98,07:00:00,18:00:00,300,1
99,05:00:00,20:00:00,300,1
100,05:00:00,20:00:00,300,1
101,05:00:00,20:00:00,300,1
102,05:00:00,20:00:00,300,1
103,06:00:00,20:00:00,300,1
104,06:00:00,20:00:00,300,1
105,04:30:00,22:44:00,300,1
106,04:30:00,22:45:00,300,1
107,04:30:00,22:46:00,300,1
108,04:30:00,22:47:00,300,1
109,04:30:00,22:48:00,300,1
110,04:30:00,22:49:00,300,1
111,04:30:00,22:50:00,300,1
112,04:30:00,22:51:00,300,1
113,04:30:00,22:52:00,300,1
114,04:30:00,22:54:00,300,1
115,04:30:00,22:55:00,300,1
116,04:30:00,21:00:00,300,1
117,04:30:00,21:00:00,300,1
118,04:30:00,21:00:00,300,1
119,04:30:00,21:00:00,300,1
120,04:30:00,21:00:00,300,1
121,04:30:00,21:00:00,300,1
122,05:30:00,20:00:00,300,1
123,05:30:00,20:00:00,300,1
124,04:00:00,19:00:00,300,1
125,04:00:00,19:00:00,300,1
126,04:00:00,18:00:00,300,1
127,04:30:00,22:00:00,300,1
128,05:30:00,18:00:00,300,1
129,04:30:00,19:30:00,300,1
130,05:00:00,19:00:00,300,1
131,05:00:00,21:00:00,300,1
132,05:00:00,20:00:00,300,1
133,05:25:00,18:00:00,300,1
134,06:00:00,19:00:00,300,1
135,04:00:00,21:00:00,300,1
136,04:00:00,21:00:00,300,1
137,05:00:00,17:00:00,300,1
138,05:00:00,18:00:00,300,1
139,05:00:00,18:00:00,300,1
140,04:00:00,18:00:00,300,1
141,04:30:00,19:30:00,300,1
142,05:00:00,19:00:00,300,1
143,04:50:00,21:00:00,300,1
144,04:00:00,22:00:00,300,1
145,05:00:00,19:50:00,300,1
146,03:45:00,21:15:00,300,1
147,05:00:00,18:00:00,300,1
148,05:00:00,15:30:00,300,1
149,05:15:00,17:30:00,300,1
150,05:00:00,21:00:00,300,1
151,05:00:00,21:00:00,300,1
152,05:50:00,20:00:00,300,1
153,05:00:00,21:00:00,300,1
154,04:30:00,22:00:00,300,1
155,06:12:00,19:45:00,300,1
156,07:30:00,17:00:00,300,1
157,04:30:00,22:00:00,300,1
158,04:30:00,22:00:00,300,1
159,05:30:00,20:30:00,300,1
160,04:30:00,22:00:00,300,1
161,05:30:00,20:00:00,300,1
162,06:00:00,19:00:00,300,1
163,05:30:00,20:00:00,300,1
164,06:00:00,19:00:00,300,1
165,04:00:00,20:00:00,300,1
166,04:00:00,20:00:00,300,1
167,04:30:00,19:30:00,300,1
168,04:00:00,20:00:00,300,1
169,04:30:00,19:30:00,300,1
170,05:30:00,18:40:00,300,1
171,06:15:00,21:00:00,300,1
172,07:30:00,17:00:00,300,1
173,04:35:00,20:00:00,300,1
174,04:35:00,20:00:00,300,1
175,05:30:00,21:00:00,300,1
176,05:00:00,19:30:00,300,1
177,05:00:00,19:30:00,300,1
178,05:00:00,19:30:00,300,1
179,04:30:00,21:30:00,300,1
180,04:00:00,21:00:00,300,1
181,04:00:00,19:00:00,300,1
182,05:15:00,17:30:00,300,1
183,05:30:00,18:40:00,300,1
184,03:45:00,20:00:00,300,1
185,03:45:00,19:00:00,300,1
186,03:40:00,18:40:00,300,1
187,03:40:00,18:00:00,300,1
188,04:00:00,19:00:00,300,1
189,04:00:00,18:00:00,300,1
190,03:45:00,20:10:00,300,1
191,03:45:00,19:00:00,300,1
192,04:30:00,21:00:00,300,1
193,06:00:00,20:00:00,300,1
194,05:30:00,19:00:00,300,1
195,05:40:00,18:30:00,300,1
196,05:30:00,19:00:00,300,1
197,05:40:00,18:30:00,300,1
198,04:30:00,20:00:00,300,1
